theta;µA;range
0;1100;3000
5;1070;3000
10;1010;3000
15;890;1000
20;820;1000
25;725;1000
30;625;1000
35;525;1000
40;420;1000
45;310;1000
50;215;300
55;138;300
60;80;100
65;41,5;100
70;17;30
75;5,7;10
80;0,8;1
85;0,44;1
90;0,46;1


















