alpha;beta
2;1,5
4;3
6;4
8;5,5
10;7
12;8
14;9
16;10,5
18;12
20;13
22;14,5
24;15,5
26;17
28;18,2
30;19,5
32;20,5
34;22
36;23
38;24
40;25,5
42;26,2
44;27,5
46;28,7
48;29,5
50;30,5
52;31,8
54;32,5
55;33
56;33,5
57;33,8
58;34,1
59;34,5
60;35
62;35,8
64;36,9
66;37,3
68;38
70;38,8
72;39,5
74;39,7
76;40,5
78;41,2
80;41,6
