Lp	alfa	beta
1	2	1,5
2	4	3
3	6	4
4	8	5,5
5	10	7
6	12	8
7	14	9
8	16	10,5
9	18	12
10	20	13
11	22	14,5
12	24	15,5
13	26	17
14	28	18,2
15	30	19,5
16	32	20,5
17	34	22
18	36	23
19	38	24
20	40	25,5
21	42	26,2
22	44	27,5
23	46	28,7
24	48	29,5
25	50	30,5
26	52	31,8
27	54	32,5
28	55	33
29	56	33,5
30	57	33,8
31	58	34,1
32	59	34,5
33	60	35
34	62	35,8
35	64	36,9
36	66	37,3
37	68	38
38	70	38,8
39	72	39,5
40	74	39,7
41	76	40,5
42	78	41,2
43	80	41,6
