ln	u(ln)	UH	uBUH
0	0.0211575257362904	0.0008	0.000059
-0.0735024619929265	0.0219791953170452	0.0161	0.000086
-0.333327579941741	0.0256857574606208	0.0615	0.00016
-0.783744075912172	0.0360131597770815	0.1266	0.00028
-1.34767952499211	0.0594877156063611	0.196	0.0004
-1.79966464873517	0.09170475173471	0.249	0.001
-2.4193843607403	0.0225063635520898	0.318	0.0011
-3.03589831527933	0.0345541568695627	0.381	0.0012
-4.10224974172921	0.09170475173471	0.491	0.0014
-5.18667739540537	0.0306585746581763	0.581	0.0016
-5.89400921095727	0.0563094949644471	0.666	0.0017
-6.61614392839047	0.112761562283474	0.744	0.0019
-7.90179476373067	0.043105035416329	0.885	0.0021
-8.70741992771731	0.09170475173471	0.969	0.0023
-9.55471778810451	0.211640548294056	1.052	0.0024
